Attack Type | Start | End | Source | Confidence | Severity
======================================================================
Port Scan | 1776400522 | 1776400522 | 192.168.1.250 | 100.00% | Medium
Brute Force | 1776400522 | 1776400522 | 192.168.1.250 | 100.00% | High
Port Scan | 1776400532 | 1776400532 | 192.168.1.251 | 100.00% | Medium
Port Scan | 1776400514 | 1776400533 | 192.168.1.6 | 100.00% | Medium
Port Scan | 1776400516 | 1776400535 | 192.168.1.66 | 100.00% | Medium
Port Scan | 1776400513 | 1776400537 | 192.168.1.143 | 100.00% | Medium
Port Scan | 1776400512 | 1776400537 | 192.168.1.161 | 100.00% | Medium
Port Scan | 1776400513 | 1776400537 | 192.168.1.172 | 100.00% | Medium
Port Scan | 1776400514 | 1776400537 | 192.168.1.29 | 100.00% | Medium
Port Scan | 1776400518 | 1776400537 | 192.168.1.106 | 100.00% | Medium
Port Scan | 1776400513 | 1776400538 | 192.168.1.190 | 100.00% | Medium
Port Scan | 1776400512 | 1776400539 | 192.168.1.91 | 100.00% | Medium
Port Scan | 1776400512 | 1776400539 | 192.168.1.147 | 100.00% | Medium
Port Scan | 1776400512 | 1776400539 | 192.168.1.132 | 100.00% | Medium
Port Scan | 1776400513 | 1776400539 | 192.168.1.120 | 100.00% | Medium
Port Scan | 1776400517 | 1776400539 | 192.168.1.131 | 100.00% | Medium
Port Scan | 1776400514 | 1776400540 | 192.168.1.37 | 100.00% | Medium
Port Scan | 1776400513 | 1776400540 | 192.168.1.38 | 100.00% | Medium
Port Scan | 1776400513 | 1776400540 | 192.168.1.123 | 100.00% | Medium
Port Scan | 1776400512 | 1776400540 | 192.168.1.117 | 100.00% | Medium
Port Scan | 1776400512 | 1776400541 | 192.168.1.41 | 100.00% | Medium
Port Scan | 1776400512 | 1776400541 | 192.168.1.92 | 100.00% | Medium
Port Scan | 1776400514 | 1776400541 | 192.168.1.56 | 100.00% | Medium
Port Scan | 1776400512 | 1776400542 | 192.168.1.146 | 100.00% | Medium
Port Scan | 1776400512 | 1776400542 | 192.168.1.19 | 100.00% | Medium
Port Scan | 1776400513 | 1776400542 | 192.168.1.30 | 100.00% | Medium
Port Scan | 1776400512 | 1776400542 | 192.168.1.35 | 100.00% | Medium
Port Scan | 1776400512 | 1776400542 | 192.168.1.39 | 100.00% | Medium
Port Scan | 1776400513 | 1776400542 | 192.168.1.46 | 100.00% | Medium
Port Scan | 1776400513 | 1776400542 | 192.168.1.80 | 100.00% | Medium
Port Scan | 1776400513 | 1776400542 | 192.168.1.95 | 100.00% | Medium
Port Scan | 1776400513 | 1776400543 | 192.168.1.127 | 100.00% | Medium
Port Scan | 1776400513 | 1776400543 | 192.168.1.4 | 100.00% | Medium
Port Scan | 1776400514 | 1776400543 | 192.168.1.49 | 100.00% | Medium
DDoS | 1776400543 | 1776400543 | 10.0.0.99 | 100.00% | Critical
Port Scan | 1776400515 | 1776400544 | 192.168.1.90 | 100.00% | Medium
Port Scan | 1776400514 | 1776400544 | 192.168.1.100 | 100.00% | Medium
Port Scan | 1776400516 | 1776400544 | 192.168.1.128 | 100.00% | Medium
Port Scan | 1776400514 | 1776400544 | 192.168.1.149 | 100.00% | Medium
DDoS | 1776400544 | 1776400544 | 10.0.0.99 | 100.00% | Critical
Port Scan | 1776400515 | 1776400545 | 192.168.1.31 | 100.00% | Medium
Port Scan | 1776400515 | 1776400545 | 192.168.1.61 | 100.00% | Medium
Port Scan | 1776400517 | 1776400545 | 192.168.1.77 | 100.00% | Medium
Port Scan | 1776400516 | 1776400545 | 192.168.1.89 | 100.00% | Medium
Port Scan | 1776400515 | 1776400545 | 192.168.1.97 | 100.00% | Medium
DDoS | 1776400545 | 1776400545 | 10.0.0.99 | 100.00% | Critical
Port Scan | 1776400516 | 1776400546 | 192.168.1.12 | 100.00% | Medium
Port Scan | 1776400516 | 1776400546 | 192.168.1.22 | 100.00% | Medium
DDoS | 1776400546 | 1776400546 | 10.0.0.99 | 100.00% | Critical
DDoS | 1776400547 | 1776400547 | 10.0.0.99 | 100.00% | Critical
Port Scan | 1776400520 | 1776400548 | 192.168.1.70 | 100.00% | Medium
Port Scan | 1776400518 | 1776400548 | 192.168.1.32 | 100.00% | Medium
Port Scan | 1776400523 | 1776400549 | 192.168.1.130 | 100.00% | Medium
Port Scan | 1776400521 | 1776400550 | 192.168.1.23 | 100.00% | Medium
Port Scan | 1776400520 | 1776400550 | 192.168.1.85 | 100.00% | Medium
Port Scan | 1776400520 | 1776400550 | 192.168.1.137 | 100.00% | Medium
Port Scan | 1776400552 | 1776400552 | 192.168.1.252 | 100.00% | Medium
Brute Force | 1776400552 | 1776400553 | 192.168.1.252 | 100.00% | High
Data Exfiltration | 1776400552 | 1776400554 | 192.168.1.252 | 100.00% | Critical
Port Scan | 1776400530 | 1776400560 | 192.168.1.103 | 100.00% | Medium
Port Scan | 1776400530 | 1776400560 | 192.168.1.43 | 100.00% | Medium
Port Scan | 1776400537 | 1776400567 | 192.168.1.88 | 100.00% | Medium
Port Scan | 1776400539 | 1776400569 | 192.168.1.107 | 100.00% | Medium
Port Scan | 1776400539 | 1776400569 | 192.168.1.142 | 100.00% | Medium
Port Scan | 1776400540 | 1776400570 | 192.168.1.59 | 100.00% | Medium
Port Scan | 1776400543 | 1776400571 | 192.168.1.145 | 100.00% | Medium
Port Scan | 1776400542 | 1776400572 | 192.168.1.72 | 100.00% | Medium
Port Scan | 1776400545 | 1776400574 | 192.168.1.5 | 100.00% | Medium
Port Scan | 1776400548 | 1776400575 | 192.168.1.168 | 100.00% | Medium
Port Scan | 1776400546 | 1776400576 | 192.168.1.36 | 100.00% | Medium
Port Scan | 1776400549 | 1776400577 | 192.168.1.199 | 100.00% | Medium
Port Scan | 1776400548 | 1776400578 | 192.168.1.166 | 100.00% | Medium
Port Scan | 1776400548 | 1776400578 | 192.168.1.170 | 100.00% | Medium
Port Scan | 1776400551 | 1776400581 | 192.168.1.136 | 100.00% | Medium
Port Scan | 1776400562 | 1776400582 | 192.168.1.9 | 100.00% | Medium
Port Scan | 1776400557 | 1776400582 | 192.168.1.180 | 100.00% | Medium
Port Scan | 1776400560 | 1776400583 | 192.168.1.158 | 100.00% | Medium
Port Scan | 1776400557 | 1776400583 | 192.168.1.47 | 100.00% | Medium
Port Scan | 1776400561 | 1776400583 | 192.168.1.71 | 100.00% | Medium
Port Scan | 1776400557 | 1776400584 | 192.168.1.48 | 100.00% | Medium
Port Scan | 1776400557 | 1776400585 | 192.168.1.57 | 100.00% | Medium
Port Scan | 1776400557 | 1776400585 | 192.168.1.129 | 100.00% | Medium
Port Scan | 1776400557 | 1776400585 | 192.168.1.115 | 100.00% | Medium
Port Scan | 1776400558 | 1776400587 | 192.168.1.200 | 100.00% | Medium
Port Scan | 1776400558 | 1776400587 | 192.168.1.114 | 100.00% | Medium
Port Scan | 1776400557 | 1776400587 | 192.168.1.187 | 100.00% | Medium
Port Scan | 1776400557 | 1776400587 | 192.168.1.193 | 100.00% | Medium
Port Scan | 1776400557 | 1776400587 | 192.168.1.73 | 100.00% | Medium
Port Scan | 1776400558 | 1776400587 | 192.168.1.179 | 100.00% | Medium
Port Scan | 1776400560 | 1776400588 | 192.168.1.125 | 100.00% | Medium
Port Scan | 1776400561 | 1776400588 | 192.168.1.162 | 100.00% | Medium
Port Scan | 1776400561 | 1776400588 | 192.168.1.140 | 100.00% | Medium
Port Scan | 1776400559 | 1776400589 | 192.168.1.62 | 100.00% | Medium
Port Scan | 1776400559 | 1776400589 | 192.168.1.16 | 100.00% | Medium
Port Scan | 1776400561 | 1776400590 | 192.168.1.116 | 100.00% | Medium
Port Scan | 1776400560 | 1776400590 | 192.168.1.144 | 100.00% | Medium
Port Scan | 1776400561 | 1776400590 | 192.168.1.122 | 100.00% | Medium
Port Scan | 1776400566 | 1776400593 | 192.168.1.82 | 100.00% | Medium
Port Scan | 1776400566 | 1776400595 | 192.168.1.50 | 100.00% | Medium
Port Scan | 1776400567 | 1776400597 | 192.168.1.52 | 100.00% | Medium
Port Scan | 1776400567 | 1776400597 | 192.168.1.176 | 100.00% | Medium
Port Scan | 1776400570 | 1776400597 | 192.168.1.15 | 100.00% | Medium
Port Scan | 1776400567 | 1776400597 | 192.168.1.195 | 100.00% | Medium
Port Scan | 1776400569 | 1776400599 | 192.168.1.24 | 100.00% | Medium
Port Scan | 1776400570 | 1776400599 | 192.168.1.102 | 100.00% | Medium
Port Scan | 1776400569 | 1776400599 | 192.168.1.165 | 100.00% | Medium
Port Scan | 1776400569 | 1776400599 | 192.168.1.75 | 100.00% | Medium
Port Scan | 1776400573 | 1776400599 | 192.168.1.124 | 100.00% | Medium
Port Scan | 1776400571 | 1776400600 | 192.168.1.79 | 100.00% | Medium
Port Scan | 1776400573 | 1776400601 | 192.168.1.171 | 100.00% | Medium
Port Scan | 1776400572 | 1776400602 | 192.168.1.118 | 100.00% | Medium
Port Scan | 1776400572 | 1776400602 | 192.168.1.65 | 100.00% | Medium
Port Scan | 1776400574 | 1776400603 | 192.168.1.26 | 100.00% | Medium
Port Scan | 1776400573 | 1776400603 | 192.168.1.133 | 100.00% | Medium
Port Scan | 1776400575 | 1776400604 | 192.168.1.20 | 100.00% | Medium
Port Scan | 1776400577 | 1776400605 | 192.168.1.189 | 100.00% | Medium
Port Scan | 1776400576 | 1776400606 | 192.168.1.113 | 100.00% | Medium
Port Scan | 1776400576 | 1776400606 | 192.168.1.63 | 100.00% | Medium
Port Scan | 1776400580 | 1776400607 | 192.168.1.74 | 100.00% | Medium
Port Scan | 1776400579 | 1776400608 | 192.168.1.186 | 100.00% | Medium
Port Scan | 1776400578 | 1776400608 | 192.168.1.54 | 100.00% | Medium
Port Scan | 1776400584 | 1776400609 | 192.168.1.11 | 100.00% | Medium
Port Scan | 1776400579 | 1776400609 | 192.168.1.155 | 100.00% | Medium
Port Scan | 1776400580 | 1776400609 | 192.168.1.183 | 100.00% | Medium
Port Scan | 1776400581 | 1776400610 | 192.168.1.119 | 100.00% | Medium
Port Scan | 1776400583 | 1776400611 | 192.168.1.192 | 100.00% | Medium
Port Scan | 1776400581 | 1776400611 | 192.168.1.160 | 100.00% | Medium
Port Scan | 1776400581 | 1776400611 | 192.168.1.18 | 100.00% | Medium
Port Scan | 1776400584 | 1776400612 | 192.168.1.51 | 100.00% | Medium
Port Scan | 1776400582 | 1776400612 | 192.168.1.1 | 100.00% | Medium
Port Scan | 1776400587 | 1776400615 | 192.168.1.53 | 100.00% | Medium
Port Scan | 1776400589 | 1776400617 | 192.168.1.173 | 100.00% | Medium
Port Scan | 1776400590 | 1776400619 | 192.168.1.99 | 100.00% | Medium
Port Scan | 1776400594 | 1776400620 | 192.168.1.150 | 100.00% | Medium
Port Scan | 1776400593 | 1776400621 | 192.168.1.135 | 100.00% | Medium
Port Scan | 1776400593 | 1776400622 | 192.168.1.181 | 100.00% | Medium
Port Scan | 1776400593 | 1776400623 | 192.168.1.109 | 100.00% | Medium
Port Scan | 1776400595 | 1776400625 | 192.168.1.67 | 100.00% | Medium
Port Scan | 1776400596 | 1776400626 | 192.168.1.25 | 100.00% | Medium
Port Scan | 1776400596 | 1776400626 | 192.168.1.96 | 100.00% | Medium
Port Scan | 1776400601 | 1776400626 | 192.168.1.84 | 100.00% | Medium
Port Scan | 1776400598 | 1776400627 | 192.168.1.81 | 100.00% | Medium
Port Scan | 1776400599 | 1776400628 | 192.168.1.188 | 100.00% | Medium
Port Scan | 1776400599 | 1776400628 | 192.168.1.76 | 100.00% | Medium
Port Scan | 1776400600 | 1776400630 | 192.168.1.101 | 100.00% | Medium
Port Scan | 1776400600 | 1776400630 | 192.168.1.86 | 100.00% | Medium
Port Scan | 1776400602 | 1776400632 | 192.168.1.185 | 100.00% | Medium
Port Scan | 1776400605 | 1776400633 | 192.168.1.108 | 100.00% | Medium
Port Scan | 1776400607 | 1776400636 | 192.168.1.153 | 100.00% | Medium
Port Scan | 1776400610 | 1776400639 | 192.168.1.94 | 100.00% | Medium
Port Scan | 1776400613 | 1776400641 | 192.168.1.10 | 100.00% | Medium
Port Scan | 1776400615 | 1776400642 | 192.168.1.17 | 100.00% | Medium
Port Scan | 1776400617 | 1776400645 | 192.168.1.184 | 100.00% | Medium
Port Scan | 1776400615 | 1776400645 | 192.168.1.156 | 100.00% | Medium
Port Scan | 1776400615 | 1776400645 | 192.168.1.148 | 100.00% | Medium
Port Scan | 1776400615 | 1776400645 | 192.168.1.28 | 100.00% | Medium
Port Scan | 1776400616 | 1776400645 | 192.168.1.139 | 100.00% | Medium
Port Scan | 1776400616 | 1776400646 | 192.168.1.175 | 100.00% | Medium
Port Scan | 1776400616 | 1776400646 | 192.168.1.58 | 100.00% | Medium
Port Scan | 1776400617 | 1776400647 | 192.168.1.141 | 100.00% | Medium
Port Scan | 1776400623 | 1776400650 | 192.168.1.69 | 100.00% | Medium
Port Scan | 1776400620 | 1776400650 | 192.168.1.152 | 100.00% | Medium
Port Scan | 1776400621 | 1776400651 | 192.168.1.34 | 100.00% | Medium
Port Scan | 1776400625 | 1776400651 | 192.168.1.163 | 100.00% | Medium
Port Scan | 1776400628 | 1776400656 | 192.168.1.60 | 100.00% | Medium
Port Scan | 1776400629 | 1776400659 | 192.168.1.83 | 100.00% | Medium
Port Scan | 1776400630 | 1776400659 | 192.168.1.104 | 100.00% | Medium
Port Scan | 1776400629 | 1776400659 | 192.168.1.13 | 100.00% | Medium
Port Scan | 1776400629 | 1776400659 | 192.168.1.40 | 100.00% | Medium
Port Scan | 1776400634 | 1776400663 | 192.168.1.93 | 100.00% | Medium
Port Scan | 1776400637 | 1776400663 | 192.168.1.126 | 100.00% | Medium
Port Scan | 1776400637 | 1776400666 | 192.168.1.138 | 100.00% | Medium
Port Scan | 1776400639 | 1776400666 | 192.168.1.157 | 100.00% | Medium
Port Scan | 1776400640 | 1776400668 | 192.168.1.33 | 100.00% | Medium
Port Scan | 1776400642 | 1776400670 | 192.168.1.154 | 100.00% | Medium
Port Scan | 1776400648 | 1776400672 | 192.168.1.68 | 100.00% | Medium
Port Scan | 1776400646 | 1776400673 | 192.168.1.182 | 100.00% | Medium
Port Scan | 1776400652 | 1776400678 | 192.168.1.27 | 100.00% | Medium
Port Scan | 1776400651 | 1776400680 | 192.168.1.87 | 100.00% | Medium
Port Scan | 1776400656 | 1776400684 | 192.168.1.121 | 100.00% | Medium
Port Scan | 1776400661 | 1776400691 | 192.168.1.3 | 100.00% | Medium
Port Scan | 1776400664 | 1776400693 | 192.168.1.14 | 100.00% | Medium
Port Scan | 1776400667 | 1776400697 | 192.168.1.7 | 100.00% | Medium
Port Scan | 1776400677 | 1776400707 | 192.168.1.64 | 100.00% | Medium
Port Scan | 1776400680 | 1776400709 | 192.168.1.198 | 100.00% | Medium
Port Scan | 1776400685 | 1776400713 | 192.168.1.196 | 100.00% | Medium
Port Scan | 1776400692 | 1776400716 | 192.168.1.78 | 100.00% | Medium
Port Scan | 1776400692 | 1776400720 | 192.168.1.164 | 100.00% | Medium
Port Scan | 1776400692 | 1776400720 | 192.168.1.111 | 100.00% | Medium
Port Scan | 1776400692 | 1776400722 | 192.168.1.194 | 100.00% | Medium
Port Scan | 1776400702 | 1776400731 | 192.168.1.21 | 100.00% | Medium
Port Scan | 1776400708 | 1776400737 | 192.168.1.44 | 100.00% | Medium
Port Scan | 1776400724 | 1776400754 | 192.168.1.159 | 100.00% | Medium
Port Scan | 1776400731 | 1776400759 | 192.168.1.45 | 100.00% | Medium
Port Scan | 1776400734 | 1776400764 | 192.168.1.191 | 100.00% | Medium
Port Scan | 1776400739 | 1776400767 | 192.168.1.167 | 100.00% | Medium
Port Scan | 1776400742 | 1776400772 | 192.168.1.110 | 100.00% | Medium
Port Scan | 1776400745 | 1776400774 | 192.168.1.8 | 100.00% | Medium
Port Scan | 1776400745 | 1776400775 | 192.168.1.177 | 100.00% | Medium
Port Scan | 1776400746 | 1776400775 | 192.168.1.174 | 100.00% | Medium
Port Scan | 1776400746 | 1776400776 | 192.168.1.151 | 100.00% | Medium
Port Scan | 1776400781 | 1776400811 | 192.168.1.169 | 100.00% | Medium
Port Scan | 1776400783 | 1776400813 | 192.168.1.42 | 100.00% | Medium
Port Scan | 1776400798 | 1776400828 | 192.168.1.197 | 100.00% | Medium
Port Scan | 1776400806 | 1776400833 | 192.168.1.55 | 100.00% | Medium
Port Scan | 1776400807 | 1776400834 | 192.168.1.178 | 100.00% | Medium
Port Scan | 1776400811 | 1776400841 | 192.168.1.112 | 100.00% | Medium
Port Scan | 1776400833 | 1776400862 | 192.168.1.105 | 100.00% | Medium
Port Scan | 1776400864 | 1776400894 | 192.168.1.134 | 100.00% | Medium
Port Scan | 1776400911 | 1776400940 | 192.168.1.98 | 100.00% | Medium
Port Scan | 1776400910 | 1776400940 | 192.168.1.2 | 100.00% | Medium
